date,code,fund,currency,position,cost,note
2026-07-03,460300,华泰柏瑞沪深300ETF联接A,CNY,1000.0,1000.0,Initial position
2026-07-06,SXR8,iShares Core S&P 500 UCITS ETF USD (Acc),EUR,0.6,425.918,0.6 shares
2026-07-10,460300,华泰柏瑞沪深300ETF联接A,CNY,2000.0,2000.0,July DCA
2026-07-10,021457,易方达恒生红利低波ETF联接A,CNY,1000.0,1000.0,July DCA
2026-07-10,164705,汇添富恒生指数(QDII-LOF)A,CNY,1000.0,1000.0,July DCA
2026-08-03,460300,华泰柏瑞沪深300ETF联接A,CNY,2536.48,2625.0,August DCA + market value
2026-08-03,160119,南方中证500ETF联接(LOF)A,CNY,375.0,371.0,August DCA
2026-08-03,110026,易方达创业板ETF联接A,CNY,125.0,125.0,August DCA
2026-08-03,100032,富国中证红利指数增强A,CNY,188.0,188.0,August DCA
2026-08-03,164705,汇添富恒生指数(QDII-LOF)A,CNY,1243.61,1187.0,August DCA + market value
2026-08-03,021457,易方达恒生红利低波ETF联接A,CNY,1572.82,1500.0,August DCA + market value
